feature,mean_abs_shap
cons_synonymous,2.191496
is_lof,1.7372578
gene_path_ratio,1.0617079
cons_intronic,0.65005964
gene_path_count,0.42764664
has_protein_change,0.3133123
num_submitters,0.25421855
review_stars,0.24497205
name_length,0.20374309
gene_total_variants,0.1542191
is_snv,0.13607034
cons_nonsense,0.111514576
cons_splice,0.10505709
position,0.09773749
cons_frameshift,0.0840882
variant_span,0.08116877
cons_utr,0.07877177
chrom_num,0.07091183
ref_len,0.06851988
type_deletion,0.05903852
type_single_nucleotide_variant,0.039469525
cons_start_lost,0.029449228
has_cdna_change,0.029123463
type_indel,0.01999766
type_microsatellite,0.019719075
is_indel,0.019249031
type_duplication,0.015015659
alt_len,0.012014231
len_diff,0.011772507
chrom_x,0.005782
chrom_autosome,0.004795644
type_insertion,0.0023483841
cons_inframe_ins,0.0014776748
type_inversion,0.00056998926
chrom_mt,4.8004775e-05
type_translocation,0.0
type_complex,0.0
cons_missense,0.0
cons_inframe_del,0.0
chrom_y,0.0
